Dedifferentiation,Inflam,Tumor
Myl9,Msr1,Phf5a
Mylk,Mxd1,Plk1
Nid2,Myc,Plk4
Nnmt,Nampt,Pms2
Notch2,Ndp,Pnn
Nt5e,Nfkb1,Pola2
Ntm,Nfkbia,Pold1
Oxtr,Nlrp3,Pold2
P3h1,Nmi,Pold3
Pcolce,Nmur1,Pole
Pcolce2,Nod2,Pole4
Pdgfrb,Npffr2,Pop7
Pdlim4,Olr1,Ppm1d
Pfn2,Oprk1,Ppp1r8
Plaur,Osm,Prdx4
Plod1,Osmr,Prim2
Plod2,P2rx4,Prkdc
Plod3,P2rx7,Prps1
Pmepa1,P2ry2,Psip1
Pmp22,Pcdh7,Psmc3ip
Postn,Pde4b,Pttg1
Ppib,Pdpn,Racgap1
Prrx1,Pik3r5,Rad1
Pthlh,Plaur,Rad21
Ptx3,Prok2,Rad50
Pvr,Psen1,Rad51ap1
Qsox1,Ptafr,Rad51c
Rgs4,Ptger2,Ran
Rhob,Ptger4,Ranbp1
Sat1,Ptgir,Rbbp7
Scg2,Ptpre,Rfc1
Sdc1,Pvr,Rfc2
Sdc4,Raf1,Rfc3
Serpine1,Rasgrp1,Rnaseh2a
Serpine2,Rela,Rpa1
Serpinh1,Rgs1,Rpa2
Sfrp1,Rgs16,Rpa3
Sfrp4,Rhog,Rrm2
Sgcb,Ripk2,Shmt1
Sgcd,Rnf144b,Slbp
Sgcg,Ros1,Smc1a
Slc6a8,Rtp4,Smc3
Slit2,Scarf1,Smc4
Slit3,Scn1b,Smc6
Snai2,Sele,Snrpb
Sntb1,Selenos,Spag5
Sparc,Sell,Spc24
Spock1,Sema4d,Spc25
Spp1,Serpine1,Srsf1
Tagln,Sgms2,Srsf2
Tfpi2,Slamf1,Ssrp1
Tgfb1,Slc11a2,Stag1
Tgfbi,Slc1a2,Stmn1
Tgfbr3,Slc28a2,Suv39h1
Tgm2,Slc31a1,Syncrip
Thbs1,Slc31a2,Tacc3
Thbs2,Slc4a4,Tbrg4
Thy1,Slc7a1,Tcf19
Timp1,Slc7a2,Tfrc
Timp3,Sphk1,Timeless
Tnc,Sri,Tipin
Tnfaip3,Stab1,Tk1
Tnfrsf11b,Tacr1,Tmpo
Tnfrsf12a,Tacr3,Top2a
Tpm1,Tapbp,Tra2b
Tpm2,Timp1,Trip13
Tpm4,Tlr1,Trp53
Vcam1,Tlr2,Tubb5
Vcan,Tlr3,Tubg1
Vegfa,Tnfaip6,Ube2s
Vegfc,Tnfrsf1b,Ube2t
Vim,Tnfrsf9,Ubr7
Wipf1,Tnfsf10,Ung
Wnt5a,Tnfsf15,Usp1
Adam17,Tnfsf9,Wdr90
Axin1,Tpbg,Wee1
Axin2,Vip,Xpo1
Ccnd2,Ackr3,Xrcc6
Csnk1e,Areg,Zw10
Ctnnb1,Atf3,Abce1
Cul1,B4galt1,Acp1
Dkk4,B4galt5,Aimp2
Dll1,Bcl2a1d,Ap3s1
Dvl2,Bcl3,Apex1
Frat1,Bcl6,Bub3
Fzd1,Bhlhe40,C1qbp
Gnai1,Birc2,Cad
Hdac11,Birc3,Canx
Hdac2,Bmp2,Cbx3
Hdac5,Btg1,Ccna2
Hey1,Btg3,Cct2
Hey2,Ccn1,Cct3
Jag1,Ccnd1,Cct4
Jag2,Ccnl1,Cct5
Kat2a,Cd44,Cct7
Lef1,Cd80,Cdc45
Maml1,Cd83,Cdk2
Myc,Cebpb,Clns1a
Ncor2,Cebpd,Cnbp
Ncstn,Cflar,Cops5
Nkd1,Clcf1,Cox5a
Notch1,Csf2,Cstf2
Notch4,Cxcl1,Cul1
Numb,Cxcl2,Cyc1
Ppard,Dennd5a,Ddx18
Psen2,Dnajb4,Ddx21
Ptch1,Dram1,Dhx15
Rbpj,Dusp1,Eef1b2
Skp2,Dusp2,Eif2s2
Tcf7,Dusp4,Eif3b
Trp53,Dusp5,Eif3d
Wnt1,Efna1,Eif3j1
Wnt5b,Egr1,Eif4a1
Wnt6,Egr2,Eif4e
Ache,Egr3,Eif4g2
Adgrg1,Ehd1,Eif4h
Amot,Eif1,Eprs1
Cdk5r1,Ets2,Erh
Cdk6,F2rl1,Etf1
Celsr1,Fjx1,Exosc7
Cntfr,Fos,Fam120a
Crmp1,Fosb,Fbl
Dpysl2,Fosl1,G3bp1
Ets2,Fosl2,Glo1
Gli1,Fut4,Gm10146
L1cam,G0s2,Gm10705
Ldb1,Gadd45a,Gm4705
Myh9,Gadd45b,Gm9531
Nf1,Gem,Gnl3
Nkx6-1,Gfpt2,Got2
